setup,eval_split,eval_distribution,model,threshold_policy,seeds,n_mean,threshold_source,external_tta_domain_norm,accuracy_mean,accuracy_std,accuracy_mean_std,precision_mean,precision_std,precision_mean_std,recall_mean,recall_std,recall_mean_std,f1_mean,f1_std,f1_mean_std,specificity_mean,specificity_std,specificity_mean_std,auc_mean,auc_std,auc_mean_std,sensitivity_at_90_specificity_mean,sensitivity_at_90_specificity_std,sensitivity_at_90_specificity_mean_std,sensitivity_at_95_specificity_mean,sensitivity_at_95_specificity_std,sensitivity_at_95_specificity_mean_std,brier_mean,brier_std,brier_mean_std,ece_mean,ece_std,ece_mean_std,threshold_mean,threshold_std,threshold_mean_std,auc_ci95_low,auc_ci95_high,auc_ci95,f1_ci95_low,f1_ci95_high,f1_ci95,recall_ci95_low,recall_ci95_high,recall_ci95,specificity_ci95_low,specificity_ci95_high,specificity_ci95
AIROGS_ORIGA,external_ACRIMA_balanced,balanced,convnext_tiny_disc,high_sensitivity_90,3,618.0,development_validation_only,True,0.5722761596548004,0.04195694385565136,0.572 +/- 0.042,0.5436533141720779,0.026789986562627217,0.544 +/- 0.027,0.9298813376483279,0.03722855216124574,0.930 +/- 0.037,0.6853726243860773,0.01480116408916638,0.685 +/- 0.015,0.21467098166127294,0.11602441993310682,0.215 +/- 0.116,0.6990413450494515,0.03636771375614405,0.699 +/- 0.036,0.26105717367853293,0.01347356633958662,0.261 +/- 0.013,0.15533980582524273,0.039237396935217286,0.155 +/- 0.039,0.22254224977543438,0.009276610046857436,0.223 +/- 0.009,0.05998965760264966,0.004950468163670418,0.060 +/- 0.005,0.33466666666666667,0.03607399802258313,0.335 +/- 0.036,0.6701492132617115,0.7181093482884915,0.670-0.718,0.6639705901451985,0.7045545878171737,0.664-0.705,0.9140686444198283,0.9461360486392747,0.914-0.946,0.1879663473076,0.24245367460205466,0.188-0.242
AIROGS_ORIGA,external_ACRIMA_balanced,balanced,convnext_tiny_global,high_sensitivity_90,3,618.0,development_validation_only,True,0.5620280474649407,0.044500833510967217,0.562 +/- 0.045,0.5667564775626942,0.05193460736385509,0.567 +/- 0.052,0.593311758360302,0.11723670412270228,0.593 +/- 0.117,0.5727924140162054,0.038467547608890144,0.573 +/- 0.038,0.5307443365695793,0.18795318570526348,0.531 +/- 0.188,0.5887087483373655,0.022036217695710555,0.589 +/- 0.022,0.27292340884573896,0.018684474731055854,0.273 +/- 0.019,0.20711974110032363,0.011668450729656927,0.207 +/- 0.012,0.25502135566442785,0.010226180005006125,0.255 +/- 0.010,0.12227165608987324,0.04053083085324592,0.122 +/- 0.041,0.3666666666666667,0.047721413781795424,0.367 +/- 0.048,0.561366696043095,0.6102240972909656,0.561-0.610,0.5494105302141843,0.6003593582249791,0.549-0.600,0.5621222416359283,0.6217592412089333,0.562-0.622,0.49972910216718264,0.5653392428971785,0.500-0.565
AIROGS_ORIGA,external_ACRIMA_balanced,balanced,morfnet_no_bio,high_specificity_90,3,618.0,development_validation_only,True,0.6375404530744336,0.03953654279246159,0.638 +/- 0.040,0.9329975919236825,0.031000349838080053,0.933 +/- 0.031,0.29881337648327944,0.09364631893942052,0.299 +/- 0.094,0.44585746552959665,0.11023412668984028,0.446 +/- 0.110,0.9762675296655878,0.015293901703082861,0.976 +/- 0.015,0.8184211169412413,0.0014553097368129183,0.818 +/- 0.001,0.5329018338727077,0.04648643241945038,0.533 +/- 0.046,0.4023732470334412,0.004943447351624419,0.402 +/- 0.005,0.2051680024836,0.027736082180748647,0.205 +/- 0.028,0.15094585789060128,0.08396466657347425,0.151 +/- 0.084,0.7040000000000001,0.08089499366462674,0.704 +/- 0.081,0.779663861958822,0.8185980826386836,0.780-0.819,0.4180203776191573,0.4861301548271479,0.418-0.486,0.2715349414272527,0.32786949704440843,0.272-0.328,0.9670328178947039,0.986321108908512,0.967-0.986
AIROGS_ORIGA,external_ACRIMA_balanced,balanced,morfnet_full,high_specificity_90,3,618.0,development_validation_only,True,0.581984897518878,0.07129541161535412,0.582 +/- 0.071,0.9633699633699634,0.03574948955300939,0.963 +/- 0.036,0.17259978425026967,0.14891420864498292,0.173 +/- 0.149,0.2732220647266142,0.21713108679653198,0.273 +/- 0.217,0.9913700107874867,0.0074737898924223155,0.991 +/- 0.007,0.7802599470051635,0.07967532380766883,0.780 +/- 0.080,0.47249190938511326,0.15261910838254497,0.472 +/- 0.153,0.3732470334412082,0.12676558958467649,0.373 +/- 0.127,0.2715089789454232,0.07620054478577977,0.272 +/- 0.076,0.2674148810591384,0.08802939429019725,0.267 +/- 0.088,0.5946666666666668,0.06478682993736715,0.595 +/- 0.065,0.7439868876924077,0.7889279004479987,0.744-0.789,0.2571678473775789,0.3240872001670711,0.257-0.324,0.14836880149294834,0.1947430423342922,0.148-0.195,0.984090627951959,0.9967391304347826,0.984-0.997
AIROGS_ORIGA,external_ACRIMA_balanced,balanced,convnext_tiny_peri,high_specificity_90,3,618.0,development_validation_only,True,0.6154261057173679,0.031763607042794954,0.615 +/- 0.032,0.8869047619047619,0.0873452897358483,0.887 +/- 0.087,0.26429341963322545,0.04272988634377206,0.264 +/- 0.043,0.40661601072912124,0.058151872307591355,0.407 +/- 0.058,0.9665587918015103,0.02752394999390092,0.967 +/- 0.028,0.7676291618227711,0.09127629482626523,0.768 +/- 0.091,0.447680690399137,0.16597661949330064,0.448 +/- 0.166,0.3559870550161812,0.17267730190231845,0.356 +/- 0.173,0.2074695944991023,0.023600164781324467,0.207 +/- 0.024,0.10914280962403923,0.0431403773691984,0.109 +/- 0.043,0.6000000000000001,0.03555277766926233,0.600 +/- 0.036,0.7372505924101906,0.7833106454144678,0.737-0.783,0.3725622382837148,0.4414455537727597,0.373-0.441,0.23602500406464794,0.29309071323224634,0.236-0.293,0.9545189688225205,0.9773032999283477,0.955-0.977
AIROGS_ORIGA,external_ACRIMA_balanced,balanced,efficientnet_v2_s_global,high_specificity_90,3,618.0,development_validation_only,True,0.5587918015102481,0.013950935443773025,0.559 +/- 0.014,0.7456140350877193,0.019807380273443136,0.746 +/- 0.020,0.1779935275080906,0.036756688322331865,0.178 +/- 0.037,0.2862214023171635,0.04971076426063162,0.286 +/- 0.050,0.9395900755124056,0.011365322279237077,0.940 +/- 0.011,0.7301836665584428,0.012634190423531352,0.730 +/- 0.013,0.2955771305285868,0.030587803406165764,0.296 +/- 0.031,0.14347357065803668,0.01660712439950448,0.143 +/- 0.017,0.2175846407410991,0.0102544560337599,0.218 +/- 0.010,0.08826983965201929,0.03670970759626725,0.088 +/- 0.037,0.6866666666666666,0.04822171018673365,0.687 +/- 0.048,0.7035511252954197,0.7472242576291723,0.704-0.747,0.2549169309917995,0.3218058721158704,0.255-0.322,0.15476747696956658,0.20389728627671538,0.155-0.204,0.9241702586206897,0.9547874086424238,0.924-0.955
AIROGS_ORIGA,external_ACRIMA_balanced,balanced,convnext_tiny_disc,high_specificity_90,3,618.0,development_validation_only,True,0.593311758360302,0.016208176053200306,0.593 +/- 0.016,0.7323577027948193,0.025199042185743842,0.732 +/- 0.025,0.29773462783171517,0.07097641488498804,0.298 +/- 0.071,0.4192045521612377,0.06656761143370486,0.419 +/- 0.067,0.8888888888888888,0.0390143286300434,0.889 +/- 0.039,0.6990413450494515,0.03636771375614405,0.699 +/- 0.036,0.26105717367853293,0.01347356633958662,0.261 +/- 0.013,0.15533980582524273,0.039237396935217286,0.155 +/- 0.039,0.22254224977543438,0.009276610046857436,0.223 +/- 0.009,0.05998965760264966,0.004950468163670418,0.060 +/- 0.005,0.6000000000000001,0.024331050121192837,0.600 +/- 0.024,0.6725029987260336,0.7178072965716712,0.673-0.718,0.3913263375968294,0.45754434443579467,0.391-0.458,0.2717727668169347,0.3290275312380356,0.272-0.329,0.8676868837614864,0.9101002449309396,0.868-0.910
AIROGS_ORIGA,external_ACRIMA_balanced,balanced,convnext_tiny_global,high_specificity_90,3,618.0,development_validation_only,True,0.5566343042071197,0.019618698467608636,0.557 +/- 0.020,0.8884111784248582,0.03803265148905871,0.888 +/- 0.038,0.13160733549083062,0.05231652924695637,0.132 +/- 0.052,0.225968023074848,0.07718796394055753,0.226 +/- 0.077,0.9816612729234088,0.01307913231173905,0.982 +/- 0.013,0.5887087483373655,0.022036217695710555,0.589 +/- 0.022,0.27292340884573896,0.018684474731055854,0.273 +/- 0.019,0.20711974110032363,0.011668450729656927,0.207 +/- 0.012,0.25502135566442785,0.010226180005006125,0.255 +/- 0.010,0.12227165608987324,0.04053083085324592,0.122 +/- 0.041,0.6360000000000001,0.03555277766926233,0.636 +/- 0.036,0.5618169442766539,0.6084813078548942,0.562-0.608,0.19863324175824176,0.2614270107619219,0.199-0.261,0.11212289544890827,0.15288322025067744,0.112-0.153,0.9734365988224408,0.9894146694168554,0.973-0.989
AIROGS_ORIGA,external_ACRIMA_balanced,balanced,morfnet_no_bio,youden,3,618.0,development_validation_only,True,0.6790722761596548,0.023411579734855144,0.679 +/- 0.023,0.883038926700113,0.020684865394608423,0.883 +/- 0.021,0.4142394822006472,0.06448174383550573,0.414 +/- 0.064,0.5612955188121885,0.05817915056961761,0.561 +/- 0.058,0.9439050701186623,0.018402073472742173,0.944 +/- 0.018,0.8184211169412413,0.0014553097368129183,0.818 +/- 0.001,0.5329018338727077,0.04648643241945038,0.533 +/- 0.046,0.4023732470334412,0.004943447351624419,0.402 +/- 0.005,0.2051680024836,0.027736082180748647,0.205 +/- 0.028,0.15094585789060128,0.08396466657347425,0.151 +/- 0.084,0.5640000000000001,0.08827230596285564,0.564 +/- 0.088,0.7785854176733678,0.8169833997631227,0.779-0.817,0.5291602971256324,0.5959955591758298,0.529-0.596,0.3815879343408063,0.44874553383774696,0.382-0.449,0.9284163325049889,0.9584233995698282,0.928-0.958
AIROGS_ORIGA,external_ACRIMA_balanced,balanced,morfnet_full,youden,3,618.0,development_validation_only,True,0.6283710895361381,0.08092772096444902,0.628 +/- 0.081,0.8956926406926407,0.024049684100531477,0.896 +/- 0.024,0.28694714131607335,0.17314167899848132,0.287 +/- 0.173,0.41639060619638696,0.20705123213774893,0.416 +/- 0.207,0.9697950377562027,0.01225222944077727,0.970 +/- 0.012,0.7802599470051635,0.07967532380766883,0.780 +/- 0.080,0.47249190938511326,0.15261910838254497,0.472 +/- 0.153,0.3732470334412082,0.12676558958467649,0.373 +/- 0.127,0.2715089789454232,0.07620054478577977,0.272 +/- 0.076,0.2674148810591384,0.08802939429019725,0.267 +/- 0.088,0.4306666666666667,0.05828664798505174,0.431 +/- 0.058,0.7484967785550151,0.789343019944164,0.748-0.789,0.4019002427221058,0.46816509387285105,0.402-0.468,0.26029127935169927,0.3163489864183098,0.260-0.316,0.9578713968957872,0.9806750115986619,0.958-0.981
